Psychological Construct,Researched Trait,Composite Feature,k,Q,I2,τ2
Sense of coherence,Neuroticism,-0.905,21,369.75,94.59,0.03
Sense of coherence,Extraversion,0.41000000000000003,17,119.87,86.65,0.01
Sense of coherence,Openness,0.2,12,45.62,75.89,0.0
Sense of coherence,Agreeableness,0.43,11,23.35,57.16,0.0
Sense of coherence,Conscientiousness,0.475,12,62.27,82.34,0.01
Balance,Neuroticism,-0.095,2,3.52,70.17,0.01
Balance,Extraversion,0.07500000000000001,2,0.06,0,0.0
Balance,Openness,0.10500000000000001,2,0.06,0,0.0
Balance,Agreeableness,0.07500000000000001,2,0.73,0,0.0
Balance,Conscientiousness,0.06,2,0.24,0,0.0
Comprehensibility,Neuroticism,-0.825,2,2.28,56.18,0.0
Comprehensibility,Extraversion,0.5,2,1.92,47.9,0.0
Comprehensibility,Openness,0.34500000000000003,2,0.19,0,0.0
Comprehensibility,Agreeableness,0.26,2,0.75,0,0.0
Comprehensibility,Conscientiousness,0.425,2,2.24,55.41,0.0
Manageability,Neuroticism,-0.725,4,20.33,85.24,0.02
Manageability,Extraversion,0.425,4,3.11,3.46,0.0
Manageability,Openness,0.275,4,2.8,0,0.0
Manageability,Agreeableness,0.41000000000000003,4,12.49,75.99,0.01
Manageability,Conscientiousness,0.265,4,6.1,50.84,0.0
Meaningfulness,Neuroticism,-0.535,2,4.98,79.92,0.01
Meaningfulness,Extraversion,0.475,2,0.22,0,0.0
Meaningfulness,Openness,0.45999999999999996,2,0.21,0,0.0
Meaningfulness,Agreeableness,0.41000000000000003,2,0.21,0,0.01
Meaningfulness,Conscientiousness,0.425,2,0.28,0,0.0
Reflection,Neuroticism,-0.86,3,7.32,72.14,0.02
Reflection,Extraversion,0.6,3,1.08,0,0.0
Reflection,Openness,0.67,3,0.43,0,0.0
Reflection,Agreeableness,0.22499999999999998,3,1.99,0,0.0
Reflection,Conscientiousness,0.505,3,3.11,35.92,0.01
