Category,Trait,r_effect,g_effect,CI_r,CI_g,k,Q,I2,τ2
Sense of coherence,Neuroticism,-0.54,-1.27,"(-0.59, -0.48)","(-1.44, -1.09)",21,369.75,94.59,0.03
Sense of coherence,Extraversion,0.27,0.55,"(0.22, 0.31)","(0.45, 0.65)",17,119.87,86.65,0.01
Sense of coherence,Openness,0.13,0.27,"(0.09, 0.18)","(0.18, 0.36)",12,45.62,75.89,0.0
Sense of coherence,Agreeableness,0.28,0.58,"(0.25, 0.31)","(0.51, 0.66)",11,23.35,57.16,0.0
Sense of coherence,Conscientiousness,0.31,0.64,"(0.26, 0.35)","(0.52, 0.75)",12,62.27,82.34,0.01
Balance,Neuroticism,-0.06,-0.13,"(-0.21, 0.09)","(-0.42, 0.17)",2,3.52,70.17,0.01
Balance,Extraversion,0.05,0.1,"(-0.03, 0.13)","(-0.06, 0.26)",2,0.06,0,0.0
Balance,Openness,0.07,0.14,"(-0.01, 0.15)","(-0.02, 0.3)",2,0.06,0,0.0
Balance,Agreeableness,0.05,0.1,"(-0.03, 0.13)","(-0.06, 0.26)",2,0.73,0,0.0
Balance,Conscientiousness,0.04,0.08,"(-0.04, 0.12)","(-0.08, 0.25)",2,0.24,0,0.0
Comprehensibility,Neuroticism,-0.5,-1.15,"(-0.57, -0.42)","(-1.38, -0.92)",2,2.28,56.18,0.0
Comprehensibility,Extraversion,0.32,0.68,"(0.24, 0.4)","(0.48, 0.87)",2,1.92,47.9,0.0
Comprehensibility,Openness,0.23,0.46,"(0.17, 0.28)","(0.35, 0.57)",2,0.19,0,0.0
Comprehensibility,Agreeableness,0.17,0.35,"(0.12, 0.22)","(0.24, 0.46)",2,0.75,0,0.0
Comprehensibility,Conscientiousness,0.28,0.57,"(0.18, 0.37)","(0.36, 0.78)",2,2.24,55.41,0.0
Manageability,Neuroticism,-0.45,-1.0,"(-0.55, -0.34)","(-1.29, -0.72)",4,20.33,85.24,0.02
Manageability,Extraversion,0.28,0.57,"(0.23, 0.32)","(0.47, 0.66)",4,3.11,3.46,0.0
Manageability,Openness,0.18,0.37,"(0.14, 0.23)","(0.28, 0.46)",4,2.8,0,0.0
Manageability,Agreeableness,0.27,0.55,"(0.17, 0.36)","(0.34, 0.77)",4,12.49,75.99,0.01
Manageability,Conscientiousness,0.18,0.35,"(0.11, 0.24)","(0.21, 0.5)",4,6.1,50.84,0.0
Meaningfulness,Neuroticism,-0.34,-0.73,"(-0.47, -0.2)","(-1.06, -0.4)",2,4.98,79.92,0.01
Meaningfulness,Extraversion,0.31,0.64,"(0.26, 0.35)","(0.53, 0.75)",2,0.22,0,0.0
Meaningfulness,Openness,0.3,0.62,"(0.25, 0.34)","(0.5, 0.73)",2,0.21,0,0.0
Meaningfulness,Agreeableness,0.27,0.55,"(0.22, 0.32)","(0.44, 0.66)",2,0.21,0,0.01
Meaningfulness,Conscientiousness,0.28,0.57,"(0.22, 0.33)","(0.45, 0.69)",2,0.28,0,0.0
Reflection,Neuroticism,-0.52,-1.2,"(-0.63, -0.41)","(-1.46, -0.94)",3,7.32,72.14,0.02
Reflection,Extraversion,0.38,0.82,"(0.3, 0.46)","(0.64, 1.0)",3,1.08,0,0.0
Reflection,Openness,0.42,0.92,"(0.35, 0.49)","(0.75, 1.09)",3,0.43,0,0.0
Reflection,Agreeableness,0.15,0.3,"(0.09, 0.2)","(0.18, 0.42)",3,1.99,0,0.0
Reflection,Conscientiousness,0.33,0.68,"(0.24, 0.41)","(0.49, 0.88)",3,3.11,35.92,0.01
